genome_accession	source	ST	BioProject	AMR_gene	AMR_class	AMR_plot_class	AMRFinderPlus_contig_ID	replicon_accession	replicon_description	localisation_classification	evidence_used	replicon_length_bp	replicon_role	sequence_report_path	AMRFinderPlus_raw_record_ID
GCA_050506665.1	Bacteraemia	16	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175301.1	CP175301.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2908051	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506665.1/sequence_report.jsonl	GCA_050506665.1:3
GCA_050506665.1	Bacteraemia	16	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175301.1	CP175301.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2908051	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506665.1/sequence_report.jsonl	GCA_050506665.1:1
GCA_050506675.1	Bacteraemia	16	PRJNA1185791	dfrG	TRIMETHOPRIM	Other	CP175300.1	CP175300.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2908051	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506675.1/sequence_report.jsonl	GCA_050506675.1:4
GCA_050506675.1	Bacteraemia	16	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175300.1	CP175300.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2908051	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506675.1/sequence_report.jsonl	GCA_050506675.1:2
GCA_050506675.1	Bacteraemia	16	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175300.1	CP175300.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2908051	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506675.1/sequence_report.jsonl	GCA_050506675.1:3
GCA_050506675.1	Bacteraemia	16	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175300.1	CP175300.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2908051	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506675.1/sequence_report.jsonl	GCA_050506675.1:1
GCA_050506685.1	Bacteraemia	179	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175298.1	CP175298.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086816	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506685.1/sequence_report.jsonl	GCA_050506685.1:3
GCA_050506685.1	Bacteraemia	179	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175298.1	CP175298.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086816	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506685.1/sequence_report.jsonl	GCA_050506685.1:6
GCA_050506685.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175298.1	CP175298.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086816	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506685.1/sequence_report.jsonl	GCA_050506685.1:1
GCA_050506685.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175298.1	CP175298.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086816	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506685.1/sequence_report.jsonl	GCA_050506685.1:2
GCA_050506685.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175298.1	CP175298.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086816	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506685.1/sequence_report.jsonl	GCA_050506685.1:4
GCA_050506685.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175298.1	CP175298.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086816	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506685.1/sequence_report.jsonl	GCA_050506685.1:5
GCA_050506685.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175298.1	CP175298.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086816	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506685.1/sequence_report.jsonl	GCA_050506685.1:7
GCA_050506695.1	Bacteraemia	179	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175296.1	CP175296.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086814	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506695.1/sequence_report.jsonl	GCA_050506695.1:3
GCA_050506695.1	Bacteraemia	179	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175296.1	CP175296.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086814	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506695.1/sequence_report.jsonl	GCA_050506695.1:6
GCA_050506695.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175296.1	CP175296.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086814	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506695.1/sequence_report.jsonl	GCA_050506695.1:1
GCA_050506695.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175296.1	CP175296.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086814	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506695.1/sequence_report.jsonl	GCA_050506695.1:2
GCA_050506695.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175296.1	CP175296.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086814	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506695.1/sequence_report.jsonl	GCA_050506695.1:5
GCA_050506695.1	Bacteraemia	179	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175296.1	CP175296.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3086814	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506695.1/sequence_report.jsonl	GCA_050506695.1:7
GCA_050506725.1	Bacteraemia	40	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175283.1	CP175283.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2858939	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506725.1/sequence_report.jsonl	GCA_050506725.1:1
GCA_050506735.1	Bacteraemia	40	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175280.1	CP175280.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	2858939	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506735.1/sequence_report.jsonl	GCA_050506735.1:1
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:5
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:2
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:3
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	gyrA_S83I	QUINOLONE	Other	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:13
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:1
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	parC_S80I	QUINOLONE	Other	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:4
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:14
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:15
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	vanB	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:7
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	vanH-B	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:8
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	vanR-B	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:12
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	vanS-B	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:11
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	vanW-B	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:9
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	vanX-B	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:6
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	vanY-B	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175276.1	CP175276.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3111171	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:10
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	ant(6)-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP175277.1	CP175277.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	128835	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:18
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	aph(3')-IIIa	AMINOGLYCOSIDE	Aminoglycoside	CP175277.1	CP175277.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	128835	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:20
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175277.1	CP175277.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	128835	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:16
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175277.1	CP175277.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	128835	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:17
GCA_050506745.1	Bacteraemia	6	PRJNA1185791	sat4	STREPTOTHRICIN	Other	CP175277.1	CP175277.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	128835	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506745.1/sequence_report.jsonl	GCA_050506745.1:19
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:8
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:10
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:11
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	gyrA_S83I	QUINOLONE	Other	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:15
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:12
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	parC_S80I	QUINOLONE	Other	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:9
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:13
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:14
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	vanB	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:6
GCA_050506755.1	Bacteraemia	6	PRJNA1185791	vanH-B	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP175273.1	CP175273.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3109149	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050506755.1/sequence_report.jsonl	GCA_050506755.1:5
